标题,来源,时间,问题,回答
（音乐表演）专业分很优秀，文化课不理想的考生求解答,ap*** (山西),2012-06-28 12:39,尊敬的老师，我是咱们山西的艺（理）类考生，文化科分数是279分，专业分数是80.07分（手风琴），我报考咱们学校音乐表演专业有没有可能被录取？盼！！！谢谢！！！,欲报考我院，需事先参加我院专业考试。经查，我院2012年没有给山西籍考生发放手风琴专业考试合格证。你今年不能报考我院。请你合理安排自己的志愿填报事宜。
补充,13***ue (山西),2012-06-26 14:34,我是文科生,我校各专业文理兼招
咨询,13***ue (山西),2012-06-26 13:51,一定是要高分的？贵校降分吗？我只考了467。请问可以吗,报考本校需事先参加本校专业考试，考试合格者方可在填报志愿时选择我院。我校各专业文理兼招。
请老师帮忙解答。。。,we***hujia (山东),2012-06-26 12:31,你好老师，请问学院什么系里有民谣（指弹）吉他？,本校目前只有古典吉他专业。
江苏声乐,bw*** (江苏),2011-05-10 11:28,江苏声乐生2010年录取分数是多少？对江苏考生小高考成绩有无要求。有2D可否？,我院本科招生录取分数线是全国统一的分数线，2010年声乐专业分数线：文科308，理科287.语文和外语成绩合格线录取时由招生委员会确定。学业水平测试成绩要求参照江苏高招办艺术类考生要求，请咨询江苏高招办。
录取体检,13***15 (北京),2018-06-25 15:24,我的孩子高考体检转氨酶是82，因为是脂肪肝，孩子胖一点，请问影响录取吗？专业是正取，高考538分,我校执行国家政策，可参照国家有关规定。
能否报考贵校,ji***u (天津),2017-06-24 10:46,我是天津考生，理科男570分，报考贵校有希望吗？谢谢，有特别要求吗,需要通过我院专业考试并合格
（音乐表演）专业分很优秀，文化课不理想的考生求解答,ap*** (山西),2012-06-28 12:39,尊敬的老师，我是咱们山西的艺（理）类考生，文化科分数是279分，专业分数是80.07分（手风琴），我报考咱们学校音乐表演专业有没有可能被录取？盼！！！谢谢！！！,欲报考我院，需事先参加我院专业考试。经查，我院2012年没有给山西籍考生发放手风琴专业考试合格证。你今年不能报考我院。请你合理安排自己的志愿填报事宜。
补充,13***ue (山西),2012-06-26 14:34,我是文科生,我校各专业文理兼招
咨询,13***ue (山西),2012-06-26 13:51,一定是要高分的？贵校降分吗？我只考了467。请问可以吗,报考本校需事先参加本校专业考试，考试合格者方可在填报志愿时选择我院。我校各专业文理兼招。
请老师帮忙解答。。。,we***hujia (山东),2012-06-26 12:31,你好老师，请问学院什么系里有民谣（指弹）吉他？,本校目前只有古典吉他专业。
江苏声乐,bw*** (江苏),2011-05-10 11:28,江苏声乐生2010年录取分数是多少？对江苏考生小高考成绩有无要求。有2D可否？,我院本科招生录取分数线是全国统一的分数线，2010年声乐专业分数线：文科308，理科287.语文和外语成绩合格线录取时由招生委员会确定。学业水平测试成绩要求参照江苏高招办艺术类考生要求，请咨询江苏高招办。
录取体检,13***15 (北京),2018-06-25 15:24,我的孩子高考体检转氨酶是82，因为是脂肪肝，孩子胖一点，请问影响录取吗？专业是正取，高考538分,我校执行国家政策，可参照国家有关规定。
能否报考贵校,ji***u (天津),2017-06-24 10:46,我是天津考生，理科男570分，报考贵校有希望吗？谢谢，有特别要求吗,需要通过我院专业考试并合格
（音乐表演）专业分很优秀，文化课不理想的考生求解答,ap*** (山西),2012-06-28 12:39,尊敬的老师，我是咱们山西的艺（理）类考生，文化科分数是279分，专业分数是80.07分（手风琴），我报考咱们学校音乐表演专业有没有可能被录取？盼！！！谢谢！！！,欲报考我院，需事先参加我院专业考试。经查，我院2012年没有给山西籍考生发放手风琴专业考试合格证。你今年不能报考我院。请你合理安排自己的志愿填报事宜。
补充,13***ue (山西),2012-06-26 14:34,我是文科生,我校各专业文理兼招
咨询,13***ue (山西),2012-06-26 13:51,一定是要高分的？贵校降分吗？我只考了467。请问可以吗,报考本校需事先参加本校专业考试，考试合格者方可在填报志愿时选择我院。我校各专业文理兼招。
请老师帮忙解答。。。,we***hujia (山东),2012-06-26 12:31,你好老师，请问学院什么系里有民谣（指弹）吉他？,本校目前只有古典吉他专业。
江苏声乐,bw*** (江苏),2011-05-10 11:28,江苏声乐生2010年录取分数是多少？对江苏考生小高考成绩有无要求。有2D可否？,我院本科招生录取分数线是全国统一的分数线，2010年声乐专业分数线：文科308，理科287.语文和外语成绩合格线录取时由招生委员会确定。学业水平测试成绩要求参照江苏高招办艺术类考生要求，请咨询江苏高招办。
录取体检,13***15 (北京),2018-06-25 15:24,我的孩子高考体检转氨酶是82，因为是脂肪肝，孩子胖一点，请问影响录取吗？专业是正取，高考538分,我校执行国家政策，可参照国家有关规定。
能否报考贵校,ji***u (天津),2017-06-24 10:46,我是天津考生，理科男570分，报考贵校有希望吗？谢谢，有特别要求吗,需要通过我院专业考试并合格
（音乐表演）专业分很优秀，文化课不理想的考生求解答,ap*** (山西),2012-06-28 12:39,尊敬的老师，我是咱们山西的艺（理）类考生，文化科分数是279分，专业分数是80.07分（手风琴），我报考咱们学校音乐表演专业有没有可能被录取？盼！！！谢谢！！！,欲报考我院，需事先参加我院专业考试。经查，我院2012年没有给山西籍考生发放手风琴专业考试合格证。你今年不能报考我院。请你合理安排自己的志愿填报事宜。
补充,13***ue (山西),2012-06-26 14:34,我是文科生,我校各专业文理兼招
咨询,13***ue (山西),2012-06-26 13:51,一定是要高分的？贵校降分吗？我只考了467。请问可以吗,报考本校需事先参加本校专业考试，考试合格者方可在填报志愿时选择我院。我校各专业文理兼招。
请老师帮忙解答。。。,we***hujia (山东),2012-06-26 12:31,你好老师，请问学院什么系里有民谣（指弹）吉他？,本校目前只有古典吉他专业。
江苏声乐,bw*** (江苏),2011-05-10 11:28,江苏声乐生2010年录取分数是多少？对江苏考生小高考成绩有无要求。有2D可否？,我院本科招生录取分数线是全国统一的分数线，2010年声乐专业分数线：文科308，理科287.语文和外语成绩合格线录取时由招生委员会确定。学业水平测试成绩要求参照江苏高招办艺术类考生要求，请咨询江苏高招办。
录取体检,13***15 (北京),2018-06-25 15:24,我的孩子高考体检转氨酶是82，因为是脂肪肝，孩子胖一点，请问影响录取吗？专业是正取，高考538分,我校执行国家政策，可参照国家有关规定。
能否报考贵校,ji***u (天津),2017-06-24 10:46,我是天津考生，理科男570分，报考贵校有希望吗？谢谢，有特别要求吗,需要通过我院专业考试并合格
（音乐表演）专业分很优秀，文化课不理想的考生求解答,ap*** (山西),2012-06-28 12:39,尊敬的老师，我是咱们山西的艺（理）类考生，文化科分数是279分，专业分数是80.07分（手风琴），我报考咱们学校音乐表演专业有没有可能被录取？盼！！！谢谢！！！,欲报考我院，需事先参加我院专业考试。经查，我院2012年没有给山西籍考生发放手风琴专业考试合格证。你今年不能报考我院。请你合理安排自己的志愿填报事宜。
补充,13***ue (山西),2012-06-26 14:34,我是文科生,我校各专业文理兼招
咨询,13***ue (山西),2012-06-26 13:51,一定是要高分的？贵校降分吗？我只考了467。请问可以吗,报考本校需事先参加本校专业考试，考试合格者方可在填报志愿时选择我院。我校各专业文理兼招。
请老师帮忙解答。。。,we***hujia (山东),2012-06-26 12:31,你好老师，请问学院什么系里有民谣（指弹）吉他？,本校目前只有古典吉他专业。
江苏声乐,bw*** (江苏),2011-05-10 11:28,江苏声乐生2010年录取分数是多少？对江苏考生小高考成绩有无要求。有2D可否？,我院本科招生录取分数线是全国统一的分数线，2010年声乐专业分数线：文科308，理科287.语文和外语成绩合格线录取时由招生委员会确定。学业水平测试成绩要求参照江苏高招办艺术类考生要求，请咨询江苏高招办。
